2,3,4,5,6,7,8,9,10,11,12
0.033,0.054,0.09,0.114,0.146,0.163,0.115,0.122,0.088,0.042,0.033
0.028,0.058,0.074,0.098,0.14,0.177,0.15,0.098,0.094,0.056,0.027
0.027,0.055,0.071,0.12,0.13,0.158,0.133,0.138,0.079,0.059,0.03
0.036,0.052,0.081,0.115,0.143,0.155,0.129,0.115,0.102,0.05,0.022
0.0295,0.0556,0.0806,0.1162,0.14,0.1631,0.1414,0.1088,0.0823,0.0537,0.0288
0.03,0.057,0.083,0.119,0.143,0.156,0.14,0.117,0.078,0.052,0.025
0.027,0.058,0.094,0.087,0.148,0.167,0.141,0.133,0.079,0.042,0.024
0.033,0.053,0.084,0.105,0.133,0.157,0.137,0.117,0.093,0.063,0.025
0.033,0.054,0.086,0.097,0.143,0.156,0.162,0.113,0.088,0.043,0.025
0.0293,0.0567,0.0867,0.106,0.1452,0.1637,0.1343,0.1123,0.0853,0.0534,0.0271
0.031,0.052,0.098,0.112,0.122,0.187,0.142,0.113,0.069,0.05,0.024
