2,3,4,5,6,7,8,9,10,11,12
0.033,0.053,0.072,0.103,0.137,0.17,0.136,0.118,0.078,0.07,0.03
0.033,0.063,0.095,0.115,0.142,0.16,0.111,0.114,0.079,0.054,0.034
0.027651,0.055296,0.08333,0.111565,0.13869,0.166475,0.138817,0.111238,0.083395,0.05582,0.027723
0.03,0.059,0.088,0.107,0.136,0.162,0.136,0.118,0.082,0.052,0.03
0.027,0.061,0.083,0.109,0.142,0.163,0.148,0.106,0.084,0.046,0.031
0.02721,0.05613,0.08388,0.11076,0.14008,0.16539,0.13885,0.11136,0.08405,0.0556,0.02669
0.026,0.063,0.072,0.123,0.129,0.173,0.135,0.096,0.092,0.054,0.037
0.026,0.057,0.078,0.124,0.133,0.168,0.139,0.109,0.084,0.049,0.033
0.026,0.048,0.096,0.105,0.135,0.163,0.133,0.122,0.084,0.065,0.023
0.02,0.046,0.065,0.114,0.148,0.175,0.16,0.118,0.086,0.045,0.023
0.032,0.067,0.097,0.121,0.125,0.154,0.122,0.107,0.09,0.06,0.025
0.024,0.058,0.082,0.105,0.149,0.169,0.127,0.118,0.089,0.054,0.025
0.03,0.048,0.095,0.124,0.134,0.144,0.147,0.116,0.074,0.053,0.035
0.026,0.066,0.076,0.114,0.131,0.166,0.13,0.101,0.088,0.067,0.035
0.029,0.053,0.084,0.111,0.141,0.163,0.152,0.112,0.078,0.051,0.026
0.035,0.06,0.072,0.098,0.149,0.176,0.128,0.126,0.081,0.044,0.031
0.03,0.052,0.08,0.115,0.152,0.173,0.132,0.115,0.088,0.041,0.022
0.028,0.065,0.075,0.117,0.131,0.164,0.139,0.103,0.09,0.051,0.037
0.028,0.058,0.08,0.115,0.156,0.132,0.139,0.121,0.082,0.059,0.03
0.024,0.062,0.091,0.118,0.127,0.185,0.113,0.103,0.084,0.059,0.034
0.032,0.056,0.079,0.105,0.152,0.159,0.141,0.109,0.073,0.059,0.035
0.026,0.06,0.087,0.117,0.127,0.173,0.129,0.104,0.085,0.064,0.028
0.032,0.053,0.063,0.1,0.145,0.19,0.141,0.12,0.08,0.046,0.03
0.028,0.066,0.074,0.105,0.126,0.164,0.14,0.114,0.082,0.066,0.035
0.028,0.053,0.087,0.115,0.116,0.158,0.156,0.103,0.088,0.057,0.039
0.022,0.059,0.07,0.109,0.149,0.174,0.146,0.104,0.088,0.054,0.025
0.027,0.065,0.075,0.092,0.146,0.173,0.134,0.126,0.088,0.046,0.028
0.024,0.066,0.068,0.112,0.143,0.16,0.151,0.11,0.088,0.053,0.025
0.034,0.058,0.086,0.104,0.134,0.19,0.125,0.105,0.091,0.039,0.034
0.03,0.07,0.13,0.1,0.06,0.15,0.22,0.11,0.06,0.05,0.02
0.03,0.06,0.093,0.118,0.132,0.155,0.13,0.126,0.068,0.055,0.033
0.029,0.064,0.064,0.102,0.152,0.161,0.156,0.115,0.076,0.056,0.025
0.03,0.056,0.081,0.125,0.125,0.166,0.151,0.112,0.072,0.056,0.026
0.027906,0.055504,0.083735,0.111276,0.138611,0.166779,0.138876,0.110641,0.083088,0.05593,0.027654
0.027845,0.055815,0.083433,0.110941,0.13864,0.166503,0.139086,0.111138,0.083417,0.055458,0.027724
0.036,0.045,0.069,0.109,0.139,0.176,0.138,0.124,0.087,0.054,0.023
0.036,0.058,0.086,0.12,0.14,0.165,0.132,0.106,0.076,0.052,0.029
0.023,0.063,0.088,0.123,0.117,0.178,0.133,0.105,0.076,0.063,0.031
0.02,0.04,0.06,0.06,0.15,0.18,0.15,0.1,0.1,0.1,0.04
0.027564,0.055531,0.083709,0.11095,0.139219,0.166527,0.139171,0.11102,0.082887,0.05543,0.027992
0.0,0.1,0.2,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.0
0.02746,0.05469,0.08369,0.11089,0.13884,0.16625,0.14117,0.11095,0.08387,0.05533,0.02686
0.0278935,0.0555197,0.0834748,0.1111412,0.1388854,0.166669,0.1387665,0.1110488,0.0832728,0.0555791,0.0277492
0.02681,0.05502,0.08202,0.11266,0.13948,0.1674,0.13877,0.111,0.08399,0.05548,0.02737
0.02,0.05,0.04,0.15,0.11,0.15,0.11,0.15,0.08,0.11,0.03
0.05,0.03,0.08,0.16,0.04,0.16,0.22,0.08,0.09,0.07,0.02
0.042,0.05,0.079,0.108,0.145,0.137,0.14,0.106,0.099,0.062,0.032
0.023,0.057,0.088,0.119,0.127,0.179,0.119,0.11,0.085,0.055,0.038
